transcript	name	gene	n_readlength	maxmean_readlength	sigma_readlength	prop_readlength	min_readlength	n_polyA	maxmean_polyA	sigma_polyA	prop_polyA	min_polyA	t5	transcript_id	hist5p_0	hist5p_1	hist5p_2	hist5p_3	hist5p_4	hist5p_5	hist5p_6	hist5p_7	hist5p_8	hist5p_9	hist3p_0	hist3p_1	hist3p_2	hist3p_3	hist3p_4	hist3p_5	hist3p_6	hist3p_7	hist3p_8	hist3p_9
ENSMUST00000000001	Gnai3	ENSMUSG00000000001	722.0	1733.73918464943	892.160097807786	0.554112011799005	166.0	460.0	149.138495403819	63.8904666974049	0.50532344431647	5.72	1.95972817510182	ENSMUST00000000001	0.0650969529085872	0.0332409972299169	0.0443213296398892	0.0581717451523545	0.0595567867036011	0.1218836565096952	0.1038781163434903	0.167590027700831	0.2409972299168975	0.1052631578947368	0.0	0.0013850415512465	0.0	0.0	0.0	0.020775623268698	0.0069252077562326	0.0166204986149584	0.0013850415512465	0.9529085872576176
ENSMUST00000000058	Cav2	ENSMUSG00000000058	371.0	1380.23633223539	746.934603404757	0.567716889202111	173.0	237.0	146.119222568764	62.8448687243241	0.521235390182764	9.42	1.86992912221473	ENSMUST00000000058	0.0646900269541779	0.0296495956873315	0.045822102425876	0.0512129380053908	0.0754716981132075	0.0781671159029649	0.1590296495956873	0.183288409703504	0.2641509433962264	0.0485175202156334	0.0	0.0	0.0026954177897574	0.0	0.0242587601078167	0.0	0.0080862533692722	0.0	0.0431266846361186	0.921832884097035
ENSMUST00000000087	Scmh1	ENSMUSG00000000085	256.0	1543.63338326792	693.049001358555	0.490144150269883	161.0	183.0	161.759525756817	66.8480566357785	0.528162417719121	8.52	0.489687836988612	ENSMUST00000000087	0.03125	0.01171875	0.0234375	0.015625	0.015625	0.265625	0.15234375	0.19140625	0.23046875	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00390625	0.00390625	0.9921875
ENSMUST00000077680	Tfe3	ENSMUSG00000000134	104.0	1863.14178810231	964.119859250747	0.559422609271709	211.0	68.0	150.227699893221	56.0270935401662	0.520889363718554	22.73	2.02839531864981	ENSMUST00000077680	0.0769230769230769	0.048076923076923	0.0384615384615384	0.0192307692307692	0.0865384615384615	0.0769230769230769	0.1153846153846153	0.1346153846153846	0.25	0.1538461538461538	0.0	0.0	0.0	0.0	0.0096153846153846	0.0	0.0096153846153846	0.0	0.0	0.9807692307692308
ENSMUST00000034567	Dlat	ENSMUSG00000000168	364.0	1526.40681380098	727.744458773405	0.548855563163872	147.0	256.0	155.323049390834	62.4282219780695	0.507264079477099	2.7	8.67363300491958	ENSMUST00000034567	0.1043956043956044	0.0467032967032967	0.0989010989010989	0.0961538461538461	0.2087912087912088	0.217032967032967	0.1813186813186813	0.0109890109890109	0.0164835164835164	0.0192307692307692	0.0	0.0	0.0	0.0	0.0	0.2637362637362637	0.173076923076923	0.4807692307692308	0.0302197802197802	0.0521978021978022
ENSMUST00000000175	Sdhd	ENSMUSG00000000171	524.0	1279.14488848118	175.403882624742	0.555389963417105	175.0	375.0	137.029731970962	58.0564709747078	0.509756727870341	5.78	8.22299710425324	ENSMUST00000000175	0.4064885496183206	0.0362595419847328	0.0515267175572519	0.0667938931297709	0.0706106870229007	0.0973282442748091	0.0801526717557251	0.1011450381679389	0.0801526717557251	0.0095419847328244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUST00000000188	Ccnd2	ENSMUSG00000000184	656.0	1452.39078989809	895.355988339617	0.572777824512261	164.0	438.0	132.136008366248	55.1941960087807	0.508912132907435	1.77	2.4956529476971494	ENSMUST00000000188	0.0228658536585365	0.0121951219512195	0.0167682926829268	0.0137195121951219	0.0167682926829268	0.0213414634146341	0.073170731707317	0.135670731707317	0.2057926829268292	0.4817073170731707	0.0	0.0	0.0121951219512195	0.0167682926829268	0.0335365853658536	0.0015243902439024	0.0	0.0015243902439024	0.0045731707317073	0.929878048780488
ENSMUST00000107896	Trim25	ENSMUSG00000000275	85.0	1556.71574900105	902.213437653332	0.581916762588931	272.0	60.0	160.538954864123	73.6144137703788	0.554706398440647	16.44	1.0505472448226	ENSMUST00000107896	0.0117647058823529	0.0235294117647058	0.0588235294117647	0.0352941176470588	0.0117647058823529	0.0235294117647058	0.0470588235294117	0.2235294117647059	0.2588235294117647	0.3058823529411765	0.0	0.0	0.0117647058823529	0.0	0.0941176470588235	0.0	0.0	0.0	0.0	0.8941176470588236
ENSMUST00000000291	Mnt	ENSMUSG00000000282	135.0	1490.8022708406	866.542437087174	0.585974108064652	186.0	91.0	154.175428289742	67.3228081972203	0.50600126399287	8.06	0.239221775950367	ENSMUST00000000291	0.0148148148148148	0.0222222222222222	0.0148148148148148	0.0074074074074074	0.0444444444444444	0.0518518518518518	0.0962962962962963	0.237037037037037	0.2666666666666666	0.2444444444444444	0.0	0.0	0.0074074074074074	0.0	0.0148148148148148	0.0074074074074074	0.0148148148148148	0.0074074074074074	0.0074074074074074	0.9407407407407408
ENSMUST00000000348	Rtca	ENSMUSG00000000339	365.0	1507.88117664316	123.052406478239	0.703139584102904	201.0	271.0	144.267590075063	72.9007937626767	0.529447783299345	3.0	7.992205573717791	ENSMUST00000000348	0.1671232876712328	0.1287671232876712	0.0547945205479452	0.0410958904109589	0.1041095890410958	0.1013698630136986	0.1424657534246575	0.1452054794520547	0.1068493150684931	0.0082191780821917	0.0	0.0	0.0	0.0	0.0	0.0	0.0027397260273972	0.0	0.0027397260273972	0.9945205479452056
ENSMUST00000000356	Dazap2	ENSMUSG00000000346	1163.0	1342.86582136446	529.029456179392	0.536270457623935	101.0	761.0	147.355475851734	67.5418533836161	0.514624404066899	8.4	3.6024222320980694	ENSMUST00000000356	0.0025795356835769	0.172828890799656	0.0498710232158211	0.053310404127257	0.0834049871023215	0.0877042132416165	0.1203783319002579	0.1392949269131556	0.2055030094582975	0.0851246775580395	0.0	0.0	0.0	0.0017196904557179	0.0	0.0214961306964746	0.0017196904557179	0.0008598452278589	0.0025795356835769	0.9716251074806534
ENSMUST00000109721	Ccm2	ENSMUSG00000000378	45.0	1137.72119970315	291.46195861488	0.467486939939929	259.0	33.0	154.561586236709	88.6758838017388	0.57765555982789	16.71	1.2210568900874	ENSMUST00000109721	0.0666666666666666	0.0888888888888888	0.0666666666666666	0.1555555555555555	0.1333333333333333	0.2666666666666666	0.1111111111111111	0.0222222222222222	0.0888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUST00000000394	Tbrg4	ENSMUSG00000000384	160.0	1878.41294805381	747.329476540129	0.547187992975629	186.0	89.0	161.842866120046	65.0359297733739	0.518336586783452	23.27	2.23693637595837	ENSMUST00000000394	0.15625	0.0375	0.0375	0.06875	0.1	0.0875	0.11875	0.16875	0.15	0.075	0.0	0.0	0.00625	0.0	0.0	0.00625	0.00625	0.00625	0.0	0.975
ENSMUST00000000449	Mkrn2	ENSMUSG00000000439	164.0	1258.80894278996	630.4421277298	0.546587003836128	196.0	106.0	157.737186963487	70.7229843581157	0.538545732562924	12.15	4.29619355147951	ENSMUST00000000449	0.2745098039215686	0.2745098039215686	0.2647058823529412	0.0980392156862745	0.0098039215686274	0.0	0.0	0.0686274509803921	0.0098039215686274	0.0	0.0	0.0098039215686274	0.3823529411764705	0.5196078431372549	0.0	0.0	0.0	0.0	0.0784313725490196	0.0098039215686274
ENSMUST00000000451	Raf1	ENSMUSG00000000441	119.0	2040.03716112858	906.955903756264	0.537152017620315	151.0	88.0	158.211954883504	72.1164920514964	0.515270824048311	6.68	4.93098859429418	ENSMUST00000000451	0.1826923076923076	0.0192307692307692	0.0576923076923076	0.0096153846153846	0.1153846153846153	0.125	0.1057692307692307	0.0961538461538461	0.2211538461538461	0.0673076923076923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192307692307692	0.9807692307692308
ENSMUST00000023128	Itga5	ENSMUSG00000000555	846.0	1907.47450664648	1100.86377442097	0.560706932191202	165.0	613.0	185.159403514649	63.5806848921674	0.480554652984329	6.73	0.604023717533743	ENSMUST00000023128	0.0307328605200945	0.0118203309692671	0.0271867612293144	0.0425531914893617	0.0520094562647754	0.0756501182033096	0.0862884160756501	0.2186761229314421	0.2978723404255319	0.1572104018912529	0.0	0.0	0.0	0.0023640661938534	0.0023640661938534	0.0	0.0	0.0047281323877068	0.0070921985815602	0.983451536643026
ENSMUST00000010278	Wdr77	ENSMUSG00000000561	611.0	1525.34349600126	638.009056166866	0.535544173734946	154.0	432.0	163.779134675943	75.1253288429872	0.526390454170804	14.19	6.47211301459239	ENSMUST00000010278	0.1980360065466448	0.0818330605564648	0.1227495908346972	0.1227495908346972	0.2962356792144026	0.1031096563011456	0.0130932896890343	0.0360065466448445	0.0163666121112929	0.0098199672667757	0.0	0.0016366612111292	0.0	0.011456628477905	0.0769230769230769	0.7839607201309329	0.0098199672667757	0.0	0.0818330605564648	0.0343698854337152
ENSMUST00000000579	Sox9	ENSMUSG00000000567	1253.0	1174.21692540794	719.641604789463	0.569896088057018	130.0	719.0	169.902854149915	68.5547066232845	0.498229308769849	2.1	0.1903756125453079	ENSMUST00000000579	0.00877893056664	0.0167597765363128	0.0127693535514764	0.028731045490822	0.0486831604150039	0.0399042298483639	0.0845969672785315	0.2059058260175578	0.3240223463687151	0.2298483639265762	0.0007980845969672	0.0007980845969672	0.0	0.0	0.0	0.0678371907422186	0.0191540303272146	0.0007980845969672	0.0095770151636073	0.9010375099760576
ENSMUST00000112939	Hnrnpd	ENSMUSG00000000568	488.0	947.082465778394	320.094028151005	0.495113103614194	167.0	331.0	154.469205702431	79.742580597782	0.529041199031087	4.92	5.53097066985729	ENSMUST00000112939	0.0122950819672131	0.0225409836065573	0.0758196721311475	0.1127049180327868	0.1393442622950819	0.1536885245901639	0.1618852459016393	0.1782786885245901	0.110655737704918	0.0327868852459016	0.0	0.0020491803278688	0.0020491803278688	0.0	0.0	0.0	0.0020491803278688	0.0122950819672131	0.0348360655737704	0.9467213114754098
