sample	transcript	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
mmu_dRNA_3T3_PION_1	ENSMUST00000000001	722	1733.73918464943	892.160097807786	0.554112011799005	166	1	0.000792680141602784	0.000792680141602784
mmu_dRNA_3T3_PION_1	ENSMUST00000000028	135	1699.76366110649	200.432271490901	0.66660251864928	129	1	0.00127289854510502	0.00127289854510502
mmu_dRNA_3T3_PION_1	ENSMUST00000000033	24	1132.51743234521	158.903202700455	0.529669598878093	273	1	0.00131022929647674	0.00131022929647674
mmu_dRNA_3T3_PION_1	ENSMUST00000000049	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_PION_1	ENSMUST00000000058	371	1380.23633223539	746.934603404757	0.567716889202111	173	1	0.00108785559341967	0.00108785559341967
mmu_dRNA_3T3_PION_1	ENSMUST00000000080	307	1423.84192573728	804.488556704332	0.56322046917965	200	1	0.00105363654516309	0.00105363654516309
mmu_dRNA_3T3_PION_1	ENSMUST00000000087	256	1543.63338326792	693.049001358555	0.490144150269883	161	1	0.000695295436235507	0.000695295436235507
mmu_dRNA_3T3_PION_1	ENSMUST00000000090	1999	731.238161281622	43.3364936375071	0.419233665520647	131	1	0.00120262745375283	0.00120262745375283
mmu_dRNA_3T3_PION_1	ENSMUST00000000095	31	1461.86078763857	824.739825619367	0.58183715549061	204	1	0.00110617396159116	0.00110617396159116
mmu_dRNA_3T3_PION_1	ENSMUST00000000096	12	2067.84135999056	183.073208076322	0.667485198473226	176	1	0.00106107465619968	0.00106107465619968
mmu_dRNA_3T3_PION_1	ENSMUST00000000128	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_PION_1	ENSMUST00000000129	112	1893.74942526829	853.296478927719	0.543113204899573	158	1	0.000684848841828762	0.000684848841828762
mmu_dRNA_3T3_PION_1	ENSMUST00000000137	1131	1502.52961966888	871.722017242026	0.563509791709254	137	1	0.000945422287781177	0.000945422287781177
mmu_dRNA_3T3_PION_1	ENSMUST00000000145	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_PION_1	ENSMUST00000000153	409	1933.52941138242	937.76667751736	0.546644047310196	178	1	0.000686842548295985	0.000686842548295985
mmu_dRNA_3T3_PION_1	ENSMUST00000000171	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_PION_1	ENSMUST00000000175	524	1279.14488848118	175.403882624742	0.555389963417105	175	1	0.00113133884425315	0.00113133884425315
mmu_dRNA_3T3_PION_1	ENSMUST00000000188	656	1452.39078989809	895.355988339617	0.572777824512261	164	1	0.00104060233682842	0.00104060233682842
mmu_dRNA_3T3_PION_1	ENSMUST00000000193	250	882.545682886455	31.4847957032451	0.512430230562207	198	1	0.00153530808337855	0.00153530808337855
mmu_dRNA_3T3_PION_1	ENSMUST00000000199	439	1620.06172689975	759.350937726248	0.532366787818819	138	1	0.000768138112129546	0.000768138112129546
mmu_dRNA_3T3_PION_1	ENSMUST00000000260	23	1634.60932626842	57.4522473645687	0.721380107658068	351	1	0.0020170616781038	0.0020170616781038
mmu_dRNA_3T3_PION_1	ENSMUST00000000266	264	1312.40140612713	478.416325526183	0.525059784418473	156	1	0.000956007280761814	0.000956007280761814
mmu_dRNA_3T3_PION_1	ENSMUST00000000284	83	1538.00818620848	754.380190007116	0.552053887159489	170	1	0.000900880120876824	0.000900880120876824
mmu_dRNA_3T3_PION_1	ENSMUST00000000285	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_PION_1	ENSMUST00000000287	1122	1737.63433015508	430.030527094356	0.594853570119771	161	0	0.000931251697368746	0.000931251697368746
mmu_dRNA_3T3_PION_1	ENSMUST00000000291	135	1490.8022708406	866.542437087174	0.585974108064652	186	1	0.00108469146113728	0.00108469146113728
mmu_dRNA_3T3_PION_1	ENSMUST00000000299	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_PION_1	ENSMUST00000000304	221	912.358326782267	52.0253649706609	0.557394267912024	97	1	0.00154453215238616	0.00154453215238616
mmu_dRNA_3T3_PION_1	ENSMUST00000000310	18	931.306420680045	159.601146862876	0.578803961828209	184	1	0.00183885931469407	0.00183885931469407
