sample	contig	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
mmu_dRNA_3T3_PION_1	ENSMUST00000000001	460	149.138495403819	63.8904666974049	0.50532344431647	5.72	1	0.616989655518795	2.39825236477398
mmu_dRNA_3T3_PION_1	ENSMUST00000000028	96	178.948064093855	84.8446059993977	0.551782365324995	20.19	1	2.99706902256102	11.6496732262132
mmu_dRNA_3T3_PION_1	ENSMUST00000000033	16	119.983218496851	48.8490482361901	0.49001624315048	2.78	1	14.9488945692024	58.1066820661702
mmu_dRNA_3T3_PION_1	ENSMUST00000000049	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_PION_1	ENSMUST00000000058	237	146.119222568764	62.8448687243241	0.521235390182764	9.42	1	1.10658251436521	4.30131057815289
mmu_dRNA_3T3_PION_1	ENSMUST00000000080	185	158.748237302455	81.0926543320098	0.523189750464461	2.55	1	1.61378313600362	6.27281055287505
mmu_dRNA_3T3_PION_1	ENSMUST00000000087	183	161.759525756817	66.8480566357785	0.528162417719121	8.52	1	1.58544877407928	6.16267426471918
mmu_dRNA_3T3_PION_1	ENSMUST00000000090	1351	138.689182831908	59.7082904106691	0.502926083628135	4.93	1	0.196862999312051	0.765210809311928
mmu_dRNA_3T3_PION_1	ENSMUST00000000095	22	131.792219947247	64.961219404086	0.572048657959791	17.5	1	9.08157170619255	35.300269016548
mmu_dRNA_3T3_PION_1	ENSMUST00000000096	10	210.976869262436	33.5404806528949	0.5563236419227	22.48	1	33.8825919047724	131.702380150872
mmu_dRNA_3T3_PION_1	ENSMUST00000000128	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_PION_1	ENSMUST00000000129	83	165.099620268943	83.2811257796341	0.544911650967446	9.32	1	3.44434348480956	13.3882389010114
mmu_dRNA_3T3_PION_1	ENSMUST00000000137	710	147.667948656938	63.6699860723803	0.510435206917015	1.78	1	0.402550571040963	1.56472292574879
mmu_dRNA_3T3_PION_1	ENSMUST00000000153	298	137.832760134104	58.9084524948082	0.504351063897642	9.96	1	0.850802650460179	3.30708861999703
