Unnamed: 0	transcript	name	gene	n_readlength	maxmean_readlength	sigma_readlength	prop_readlength	min_readlength	n_polyA	maxmean_polyA	sigma_polyA	prop_polyA	min_polyA	t5	transcript_id	hist5p	hist3p
0	ENSMUST00000000001	Gnai3	ENSMUSG00000000001	216.0	1842.12380538068	929.64969689421	0.560317472712019	234.0	142.0	159.615691947966	62.1527464131739	0.516990456362946	12.21	1.9597281751018201	ENSMUST00000000001	0.12037037037037036,0.041666666666666664,0.009259259259259259,0.06481481481481481,0.05092592592592592,0.14351851851851852,0.10185185185185185,0.22685185185185186,0.20833333333333334,0.032407407407407406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.004629629629629629,0.041666666666666664,0.0,0.023148148148148147,0.004629629629629629,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1	ENSMUST00000000087	Scmh1	ENSMUSG00000000085	78.0	1722.48110595108	863.995463193676	0.568824248763014	247.0	62.0	167.289219321472	79.4310595241565	0.51087151346912	6.87	0.48968783698861201	ENSMUST00000000087	0.0641025641025641,0.02564102564102564,0.01282051282051282,0.0,0.0641025641025641,0.2948717948717949,0.08974358974358974,0.1794871794871795,0.24358974358974358,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.9871794871794872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2	ENSMUST00000000090	Cox5a	ENSMUSG00000000088	600.0	714.828886935877	60.019772399561	0.357308768912088	154.0	443.0	149.341520866527	67.9287209453071	0.52184634798517	9.54	20.606646431274498	ENSMUST00000000090	0.7066666666666667,0.04,0.04833333333333333,0.04,0.035,0.058333333333333334,0.03666666666666667,0.023333333333333334,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0033333333333333335,0.0,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3	ENSMUST00000000175	Sdhd	ENSMUSG00000000171	161.0	1280.20495061713	31.3164382745023	0.530774238971616	200.0	124.0	143.193802303201	57.412083683902	0.505247954192265	8.0	8.2229971042532402	ENSMUST00000000175	0.5185185185185185,0.05555555555555555,0.037037037037037035,0.06172839506172839,0.030864197530864196,0.09876543209876543,0.030864197530864196,0.10493827160493827,0.05555555555555555,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.9938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4	ENSMUST00000000188	Ccnd2	ENSMUSG00000000184	181.0	1677.41472743093	1074.527221226	0.582128545508834	189.0	141.0	128.291092176506	51.2098377614279	0.51623960350135	3.31	2.4956529476971498	ENSMUST00000000188	0.016574585635359115,0.011049723756906077,0.027624309392265192,0.03314917127071823,0.022099447513812154,0.016574585635359115,0.11602209944751381,0.15469613259668508,0.2154696132596685,0.3867403314917127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.06077348066298342,0.0,0.0,0.0,0.0,0.9281767955801105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5	ENSMUST00000000193	Ccl2	ENSMUSG00000035385	87.0	862.409528462942	18.5975210260097	0.468034346956846	215.0	67.0	182.696718504247	59.1542924475849	0.536495871512194	15.3	0.38489455267418099	ENSMUST00000000193	0.6551724137931034,0.022988505747126436,0.04597701149425287,0.06896551724137931,0.022988505747126436,0.04597701149425287,0.09195402298850575,0.04597701149425287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.05747126436781609,0.0,0.9310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6	ENSMUST00000000199	Ncs1	ENSMUSG00000062661	125.0	1712.44242251963	916.833117753318	0.540056839992119	207.0	94.0	128.158766740717	55.1798454464849	0.486467875729646	7.07	3.0420227127587598	ENSMUST00000000199	0.04,0.016,0.024,0.08,0.088,0.072,0.176,0.352,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.008,0.856,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7	ENSMUST00000000284	Trim25	ENSMUSG00000000275	22.0	2329.65243428391	1015.80579649986	0.491333899840917	208.0	17.0	180.352641211509	31.9294873519202	0.548076555788283	21.92	1.0505472448226001	ENSMUST00000000284	0.0,0.0,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.3181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8	ENSMUST00000000291	Mnt	ENSMUSG00000000282	50.0	1825.14192936231	1115.64132367113	0.591334775626999	274.0	34.0	141.982345427594	62.2435232824519	0.534930324744962	12.5	0.239221775950367	ENSMUST00000000291	0.02,0.04,0.06,0.0,0.04,0.06,0.08,0.2,0.32,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9	ENSMUST00000000348	Rtca	ENSMUSG00000000339	109.0	1504.28678726056	41.0339426654962	0.592025883913016	283.0	85.0	157.555815463277	77.980942432256	0.527166954683927	4.93	7.9922055737177899	ENSMUST00000000348	0.23853211009174313,0.22935779816513763,0.03669724770642202,0.045871559633027525,0.05504587155963303,0.05504587155963303,0.11009174311926606,0.1651376146788991,0.06422018348623854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.9908256880733946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10	ENSMUST00000000356	Dazap2	ENSMUSG00000000346	351.0	1844.51471745097	79.5253475443986	0.763723991329099	179.0	243.0	142.451817048762	67.3314292191355	0.514418914993661	4.61	3.6024222320980699	ENSMUST00000000356	0.0,0.25501432664756446,0.05157593123209169,0.05730659025787966,0.08022922636103152,0.06876790830945559,0.1346704871060172,0.15472779369627507,0.15759312320916904,0.04011461318051576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.02005730659025788,0.0057306590257879654,0.0028653295128939827,0.0057306590257879654,0.9656160458452722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11	ENSMUST00000000388	Ccm2	ENSMUSG00000000378	75.0	1872.59321853089	68.5341011196323	0.673522181098014	263.0	58.0	162.437085696393	78.5164306145951	0.537610789189807	19.44	1.2210568900873999	ENSMUST00000000388	0.37333333333333335,0.05333333333333334,0.02666666666666667,0.05333333333333334,0.04,0.08,0.10666666666666667,0.14666666666666667,0.10666666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.9866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12	ENSMUST00000000394	Tbrg4	ENSMUSG00000000384	60.0	2288.97823388547	309.884107198085	0.673973377865664	224.0	35.0	154.684651963719	67.0172574311783	0.560477035334459	21.31	2.2369363759583698	ENSMUST00000000394	0.16666666666666666,0.05,0.08333333333333333,0.016666666666666666,0.11666666666666667,0.08333333333333333,0.03333333333333333,0.15,0.21666666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13	ENSMUST00000000449	Mkrn2	ENSMUSG00000000439	53.0	1423.08182563914	646.663858483193	0.558978889053537	285.0	39.0	155.147725274101	95.4606239699726	0.585414650471066	22.52	4.2961935514795098	ENSMUST00000000449	0.25,0.2777777777777778,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.2222222222222222,0.7222222222222222,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14	ENSMUST00000000451	Raf1	ENSMUSG00000000441	43.0	2929.25315862558	134.952585705491	0.670713345712725	292.0	35.0	178.99178506339	94.5989053831402	0.577758460127498	27.15	4.9309885942941802	ENSMUST00000000451	0.3157894736842105,0.10526315789473684,0.0,0.05263157894736842,0.07894736842105263,0.07894736842105263,0.02631578947368421,0.15789473684210525,0.15789473684210525,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
