transcript	name	gene	n_readlength	maxmean_readlength	sigma_readlength	prop_readlength	min_readlength	n_polyA	maxmean_polyA	sigma_polyA	prop_polyA	min_polyA	t5	transcript_id	hist5p_0	hist5p_1	hist5p_2	hist5p_3	hist5p_4	hist5p_5	hist5p_6	hist5p_7	hist5p_8	hist5p_9	hist3p_0	hist3p_1	hist3p_2	hist3p_3	hist3p_4	hist3p_5	hist3p_6	hist3p_7	hist3p_8	hist3p_9
ENSMUST00000000001	Gnai3	ENSMUSG00000000001	216.0	1842.12380538068	929.64969689421	0.560317472712019	234.0	142.0	159.615691947966	62.1527464131739	0.516990456362946	12.21	1.95972817510182	ENSMUST00000000001	0.1203703703703703	0.0416666666666666	0.0092592592592592	0.0648148148148148	0.0509259259259259	0.1435185185185185	0.1018518518518518	0.2268518518518518	0.2083333333333333	0.0324074074074074	0.0	0.0	0.0	0.0	0.0046296296296296	0.0416666666666666	0.0	0.0231481481481481	0.0046296296296296	0.925925925925926
ENSMUST00000000087	Scmh1	ENSMUSG00000000085	78.0	1722.48110595108	863.995463193676	0.568824248763014	247.0	62.0	167.289219321472	79.4310595241565	0.51087151346912	6.87	0.489687836988612	ENSMUST00000000087	0.0641025641025641	0.0256410256410256	0.0128205128205128	0.0	0.0641025641025641	0.2948717948717949	0.0897435897435897	0.1794871794871795	0.2435897435897435	0.0256410256410256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205128205128	0.9871794871794872
ENSMUST00000000090	Cox5a	ENSMUSG00000000088	600.0	714.828886935877	60.019772399561	0.357308768912088	154.0	443.0	149.341520866527	67.9287209453071	0.52184634798517	9.54	20.606646431274495	ENSMUST00000000090	0.7066666666666667	0.04	0.0483333333333333	0.04	0.035	0.0583333333333333	0.0366666666666666	0.0233333333333333	0.0116666666666666	0.0	0.0	0.0	0.0	0.0016666666666666	0.0	0.0	0.0	0.0033333333333333	0.0	0.995
ENSMUST00000115677	Tfe3	ENSMUSG00000000134	17.0	1821.99790810032	944.027423301111	0.576210976357299	322.0	14.0	199.630910797494	6.82495846131967	0.741630108079469	49.69	2.02839531864981	ENSMUST00000115677	0.1764705882352941	0.0588235294117647	0.0	0.0588235294117647	0.0588235294117647	0.0	0.1176470588235294	0.2941176470588235	0.1764705882352941	0.0588235294117647	0.0	0.0588235294117647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9411764705882352
ENSMUST00000034567	Dlat	ENSMUSG00000000168	119.0	1457.77433138394	670.660966027539	0.53287339567659	244.0	81.0	142.056188295734	61.2594199612976	0.539492531192363	31.04	8.67363300491958	ENSMUST00000034567	0.0756302521008403	0.0	0.1260504201680672	0.1596638655462184	0.2689075630252101	0.2352941176470588	0.0840336134453781	0.0252100840336134	0.0252100840336134	0.0	0.0	0.0	0.0	0.0	0.0	0.2521008403361344	0.226890756302521	0.4453781512605042	0.0252100840336134	0.0504201680672268
ENSMUST00000000175	Sdhd	ENSMUSG00000000171	161.0	1280.20495061713	31.3164382745023	0.530774238971616	200.0	124.0	143.193802303201	57.412083683902	0.505247954192265	8.0	8.22299710425324	ENSMUST00000000175	0.5185185185185185	0.0555555555555555	0.037037037037037	0.0617283950617283	0.0308641975308641	0.0987654320987654	0.0308641975308641	0.1049382716049382	0.0555555555555555	0.0061728395061728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061728395061728	0.9938271604938272
ENSMUST00000000188	Ccnd2	ENSMUSG00000000184	181.0	1677.41472743093	1074.527221226	0.582128545508834	189.0	141.0	128.291092176506	51.2098377614279	0.51623960350135	3.31	2.4956529476971494	ENSMUST00000000188	0.0165745856353591	0.011049723756906	0.0276243093922651	0.0331491712707182	0.0220994475138121	0.0165745856353591	0.1160220994475138	0.154696132596685	0.2154696132596685	0.3867403314917127	0.0	0.0	0.005524861878453	0.005524861878453	0.0607734806629834	0.0	0.0	0.0	0.0	0.9281767955801103
ENSMUST00000107896	Trim25	ENSMUSG00000000275	32.0	2795.95364405134	1200.5685796229	0.555827847229034	267.0	23.0	141.387480130359	70.8012940615786	0.528125427370118	3.64	1.0505472448226	ENSMUST00000107896	0.03125	0.09375	0.0625	0.0	0.09375	0.15625	0.1875	0.09375	0.15625	0.125	0.0	0.0	0.0	0.0	0.0625	0.0	0.03125	0.0	0.0	0.90625
ENSMUST00000000291	Mnt	ENSMUSG00000000282	50.0	1825.14192936231	1115.64132367113	0.591334775626999	274.0	34.0	141.982345427594	62.2435232824519	0.534930324744962	12.5	0.239221775950367	ENSMUST00000000291	0.02	0.04	0.06	0.0	0.04	0.06	0.08	0.2	0.32	0.18	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.04	0.94
ENSMUST00000000348	Rtca	ENSMUSG00000000339	109.0	1504.28678726056	41.0339426654962	0.592025883913016	283.0	85.0	157.555815463277	77.980942432256	0.527166954683927	4.93	7.992205573717791	ENSMUST00000000348	0.2385321100917431	0.2293577981651376	0.036697247706422	0.0458715596330275	0.055045871559633	0.055045871559633	0.110091743119266	0.1651376146788991	0.0642201834862385	0.0	0.0	0.0	0.0	0.0	0.0091743119266055	0.0	0.0	0.0	0.0	0.9908256880733946
