sample	transcript	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
mmu_dRNA_3T3_mion_1	ENSMUST00000000001	216	1842.12380538068	929.64969689421	0.560317472712019	234	1	0.000792456582569662	0.000792456582569662
mmu_dRNA_3T3_mion_1	ENSMUST00000000010	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000028	41	1360.36688670394	468.99485435674	0.52508992344574	202	1	0.000954500511642059	0.000954500511642059
mmu_dRNA_3T3_mion_1	ENSMUST00000000033	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000058	114	1612.40231399213	776.754821012511	0.559529416868583	222	1	0.000913619862986677	0.000913619862986677
mmu_dRNA_3T3_mion_1	ENSMUST00000000080	84	1687.49440886454	736.439225058497	0.54406607591071	313	1	0.000868173973586367	0.000868173973586367
mmu_dRNA_3T3_mion_1	ENSMUST00000000087	78	1722.48110595108	863.995463193676	0.568824248763014	247	1	0.000894108288031063	0.000894108288031063
mmu_dRNA_3T3_mion_1	ENSMUST00000000090	600	714.828886935877	60.019772399561	0.357308768912088	154	1	0.000991313282287754	0.000991313282287754
mmu_dRNA_3T3_mion_1	ENSMUST00000000095	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000096	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000128	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000129	38	2327.14548664345	831.464383309777	0.526220862520377	353	1	0.000562617159618932	0.000562617159618932
mmu_dRNA_3T3_mion_1	ENSMUST00000000137	307	1524.78557458735	841.624274008944	0.552568616717769	190	1	0.000925226936927748	0.000925226936927748
mmu_dRNA_3T3_mion_1	ENSMUST00000000145	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000153	127	2008.64111530443	960.611372346676	0.548445766083272	185	1	0.00066601558863856	0.00066601558863856
mmu_dRNA_3T3_mion_1	ENSMUST00000000171	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000175	161	1280.20495061713	31.3164382745023	0.530774238971616	200	1	0.00104718117314946	0.00104718117314946
mmu_dRNA_3T3_mion_1	ENSMUST00000000188	181	1677.41472743093	1074.527221226	0.582128545508834	189	1	0.000935949103653552	0.000935949103653552
mmu_dRNA_3T3_mion_1	ENSMUST00000000193	87	862.409528462942	18.5975210260097	0.468034346956846	215	1	0.00135898619702371	0.00135898619702371
mmu_dRNA_3T3_mion_1	ENSMUST00000000194	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000199	125	1712.44242251963	916.833117753318	0.540056839992119	207	1	0.000779957890856966	0.000779957890856966
mmu_dRNA_3T3_mion_1	ENSMUST00000000260	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000266	86	1774.83527802047	67.7323340035908	0.660782210478046	215	1	0.00124882327497034	0.00124882327497034
mmu_dRNA_3T3_mion_1	ENSMUST00000000284	22	2329.65243428391	1015.80579649986	0.491333899840917	208	1	0.000455270692851217	0.000455270692851217
mmu_dRNA_3T3_mion_1	ENSMUST00000000287	333	2048.9470821847	49.0377037824402	0.725072257871332	204	0	0.00142948238946135	0.00142948238946135
mmu_dRNA_3T3_mion_1	ENSMUST00000000291	50	1825.14192936231	1115.64132367113	0.591334775626999	274	1	0.000932855120577269	0.000932855120577269
mmu_dRNA_3T3_mion_1	ENSMUST00000000299	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000304	79	887.833955366481	150.103772615668	0.440981154885267	200	1	0.00114685885088622	0.00114685885088622
mmu_dRNA_3T3_mion_1	ENSMUST00000000310	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000335	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000348	109	1504.28678726056	41.0339426654962	0.592025883913016	283	1	0.00118820240234821	0.00118820240234821
mmu_dRNA_3T3_mion_1	ENSMUST00000000349	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000356	351	1844.51471745097	79.5253475443986	0.763723991329099	179	1	0.00194074436116012	0.00194074436116012
mmu_dRNA_3T3_mion_1	ENSMUST00000000365	94	900.18634657098	63.4396099424986	0.519996245869776	272	1	0.00172451541713089	0.00172451541713089
mmu_dRNA_3T3_mion_1	ENSMUST00000000384	54	1727.14830021342	797.528846900623	0.534678911141993	293	1	0.000801209807441034	0.000801209807441034
