sample	contig	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
mmu_dRNA_3T3_mion_1	ENSMUST00000000001	142	159.615691947966	62.1527464131739	0.516990456362946	12.21	1	2.00790602684923	2.54700670809195
mmu_dRNA_3T3_mion_1	ENSMUST00000000010	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000028	28	191.174852653175	73.4250041065507	0.5501639545707	6.73	1	11.9733692319501	15.1880871636672
mmu_dRNA_3T3_mion_1	ENSMUST00000000033	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000058	82	168.532309790378	55.5718839997798	0.523650518297118	14.7	0	3.58254926211493	4.54442433095091
mmu_dRNA_3T3_mion_1	ENSMUST00000000080	60	151.860760135318	64.581236583659	0.547553718605661	16.37	0	4.12412382357489	5.23140570484269
mmu_dRNA_3T3_mion_1	ENSMUST00000000087	62	167.289219321472	79.4310595241565	0.51087151346912	6.87	1	5.06469179633745	6.42450583204429
mmu_dRNA_3T3_mion_1	ENSMUST00000000090	443	149.341520866527	67.9287209453071	0.52184634798517	9.54	1	0.604735579913931	0.767100431029443
mmu_dRNA_3T3_mion_1	ENSMUST00000000095	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000096	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000128	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000129	29	167.963989508255	62.1331354566095	0.517532438810986	26.46	1	9.42829385784614	11.9596870474454
mmu_dRNA_3T3_mion_1	ENSMUST00000000137	224	151.499003063966	66.4591052345548	0.516637706243188	4.5	0	1.27022387538203	1.61126501345947
mmu_dRNA_3T3_mion_1	ENSMUST00000000153	92	145.786011902911	61.1217498115227	0.510250855087372	24.79	1	2.57750482789048	3.26953652162597
mmu_dRNA_3T3_mion_1	ENSMUST00000000171	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000175	124	143.193802303201	57.412083683902	0.505247954192265	8	1	2.15789611847588	2.73726748942935
mmu_dRNA_3T3_mion_1	ENSMUST00000000188	141	128.291092176506	51.2098377614279	0.51623960350135	3.31	1	1.71701419000829	2.17801361286943
mmu_dRNA_3T3_mion_1	ENSMUST00000000193	67	182.696718504247	59.1542924475849	0.536495871512194	15.3	1	4.65699480239379	5.9073466798937
mmu_dRNA_3T3_mion_1	ENSMUST00000000194	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000199	94	128.158766740717	55.1798454464849	0.486467875729646	7.07	1	2.64802350545754	3.35898868841433
mmu_dRNA_3T3_mion_1	ENSMUST00000000260	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000266	61	165.586373618503	89.9649676998524	0.529782273826538	16.09	1	4.62597626295171	5.86800000381535
mmu_dRNA_3T3_mion_1	ENSMUST00000000284	17	180.352641211509	31.9294873519202	0.548076555788283	21.92	1	17.0041338781308	21.5695567789362
mmu_dRNA_3T3_mion_1	ENSMUST00000000287	255	154.786747967424	64.7515568883026	0.525490191380316	14.07	1	1.05012499422011	1.33207200379327
mmu_dRNA_3T3_mion_1	ENSMUST00000000291	34	141.982345427594	62.2435232824519	0.534930324744962	12.5	1	7.11925292157974	9.03069401924177
mmu_dRNA_3T3_mion_1	ENSMUST00000000299	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000304	66	119.295484898033	69.361857310958	0.530180885470222	2.12	1	3.34864229072325	4.24771591071724
mmu_dRNA_3T3_mion_1	ENSMUST00000000310	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000335	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000348	85	157.555815463277	77.980942432256	0.527166954683927	4.93	1	3.40612743842474	4.32063518823996
mmu_dRNA_3T3_mion_1	ENSMUST00000000349	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000356	243	142.451817048762	67.3314292191355	0.514418914993661	4.61	1	1.10270104653485	1.39876414781795
mmu_dRNA_3T3_mion_1	ENSMUST00000000365	65	147.938827870586	65.2111474420076	0.531427266456279	13.27	1	3.89861087652038	4.94534501214646
mmu_dRNA_3T3_mion_1	ENSMUST00000000384	37	171.121476504914	69.0928966880638	0.521281371941077	10.43	1	8.33141775686186	10.5683117789839
mmu_dRNA_3T3_mion_1	ENSMUST00000000388	58	162.437085696393	78.5164306145951	0.537610789189807	19.44	1	4.58597008159177	5.81725260282826
mmu_dRNA_3T3_mion_1	ENSMUST00000000394	35	154.684651963719	67.0172574311783	0.560477035334459	21.31	1	6.79903742986819	8.62450419037607
mmu_dRNA_3T3_mion_1	ENSMUST00000000430	39	143.531707321689	65.285048400836	0.521151112244098	22.35	1	5.9622308993621	7.56302431130093
mmu_dRNA_3T3_mion_1	ENSMUST00000000449	39	155.147725274101	95.4606239699726	0.585414650471066	22.52	1	5.80906354449392	7.36873320649155
mmu_dRNA_3T3_mion_1	ENSMUST00000000451	35	178.99178506339	94.5989053831402	0.577758460127498	27.15	1	7.50891075682301	9.52497069701166
mmu_dRNA_3T3_mion_1	ENSMUST00000000466	137	165.833757583478	54.306439454424	0.540207529073185	24.25	0	1.91307604750345	2.42671592242161
mmu_dRNA_3T3_mion_1	ENSMUST00000000476	48	177.898133070122	89.7436859099053	0.542527900696485	8.21	1	6.51610623973902	8.26560908794031
mmu_dRNA_3T3_mion_1	ENSMUST00000000505	216	149.200716869238	70.1583222439571	0.523150441949086	4.84	1	1.27752286642901	1.62052370331366
mmu_dRNA_3T3_mion_1	ENSMUST00000000514	10	183.064810589051	87.3670751505193	0.577106691566628	3.76	1	31.0696121201274	39.4114612086483
mmu_dRNA_3T3_mion_1	ENSMUST00000000542	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000543	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000544	12	250.187027804814	67.3350852463556	0.558799634375828	47.59	0	30.2131293791187	38.3250222729889
mmu_dRNA_3T3_mion_1	ENSMUST00000000579	259	167.619188629303	66.5745162853125	0.514155366055207	10.28	1	1.18152460305106	1.49875096219964
mmu_dRNA_3T3_mion_1	ENSMUST00000000590	46	142.077277438966	63.83810997421	0.53686962383069	11.97	1	5.26835371049439	6.68284872987131
mmu_dRNA_3T3_mion_1	ENSMUST00000000594	58	163.914969950982	80.4881975466841	0.546505701196661	10.27	1	4.84725264576544	6.14868666137436
mmu_dRNA_3T3_mion_1	ENSMUST00000000608	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000619	54	175.896917123538	80.9919234158768	0.543210870262785	16.12	1	5.44693039215629	6.90937128621594
mmu_dRNA_3T3_mion_1	ENSMUST00000000642	23	162.940322603842	51.296328998014	0.522853832487064	5.12	1	13.1236547010652	16.6472116280995
mmu_dRNA_3T3_mion_1	ENSMUST00000000645	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000707	112	161.561598140001	72.4364132275093	0.520109555394091	14.78	1	2.51975755838567	3.19628474547907
mmu_dRNA_3T3_mion_1	ENSMUST00000000724	18	191.164172123859	35.6996656219853	0.504085567917897	28.53	1	17.9240040971188	22.7364020331501
mmu_dRNA_3T3_mion_1	ENSMUST00000000727	73	166.807234063221	58.1299588037533	0.494854813004661	6.26	1	4.44428774087223	5.63753011213127
mmu_dRNA_3T3_mion_1	ENSMUST00000000746	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000755	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000000756	4439	103.748088146458	54.3308379880448	0.522575033580398	3.25	1	0.0433235461656828	0.0549554417521608
mmu_dRNA_3T3_mion_1	ENSMUST00000000759	127	145.517904637576	57.1224090069712	0.517122965208237	15.37	1	1.98170787150579	2.51377463621851
mmu_dRNA_3T3_mion_1	ENSMUST00000000767	30	138.305276183402	42.1983250640993	0.529767512458165	7.76	1	8.21399784581359	10.4193659134382
mmu_dRNA_3T3_mion_1	ENSMUST00000000769	757	135.121000739895	63.976772305501	0.512161132719806	2.74	1	0.341446891286364	0.433121625680949
mmu_dRNA_3T3_mion_1	ENSMUST00000000776	31	191.008037278019	99.4456950477115	0.570482906840777	25.03	1	9.38525969940967	11.9050986908445
mmu_dRNA_3T3_mion_1	ENSMUST00000000793	10	213.027726852794	104.838743348555	0.60839947112879	39	1	28.6041877271708	36.2840974858512
mmu_dRNA_3T3_mion_1	ENSMUST00000000804	274	165.780935156958	58.5740871312013	0.491653778932661	4.27	1	1.19892492030832	1.52082307323698
mmu_dRNA_3T3_mion_1	ENSMUST00000000828	NA	NA	NA	NA	NA	0	NA	NA
