transcript	exonic_length	exonic_length_utr5	exonic_length_cds	exonic_length_utr3
ENSMUST00000179436	243	NA	NA	NA
ENSMUST00000076951	4349	244	867	3238
ENSMUST00000051100	2534	133	663	1738
ENSMUST00000190424	1497	NA	NA	NA
ENSMUST00000189703	484	NA	NA	NA
ENSMUST00000192892	923	58	669	196
ENSMUST00000194145	621	NA	NA	NA
ENSMUST00000171947	1563	176	684	703
ENSMUST00000187298	2167	NA	NA	NA
ENSMUST00000178531	1143	NA	1143	NA
ENSMUST00000185348	4605	405	684	3516
ENSMUST00000188128	438	NA	NA	NA
ENSMUST00000190956	621	NA	NA	NA
ENSMUST00000188269	931	58	669	204
ENSMUST00000179137	684	NA	684	NA
ENSMUST00000193386	1498	NA	NA	NA
ENSMUST00000186118	457	NA	NA	NA
ENSMUST00000190408	572	NA	NA	NA
ENSMUST00000189366	2167	NA	NA	NA
ENSMUST00000169382	1573	76	1143	354
ENSMUST00000191588	622	NA	NA	NA
ENSMUST00000189280	437	NA	NA	NA
ENSMUST00000193541	622	NA	NA	NA
ENSMUST00000188706	1224	401	684	139
ENSMUST00000190329	1225	407	684	134
ENSMUST00000186883	1494	NA	NA	NA
ENSMUST00000187209	2167	NA	NA	NA
ENSMUST00000185955	437	NA	NA	NA
ENSMUST00000191443	923	58	669	196
ENSMUST00000190743	166	NA	NA	NA
ENSMUST00000186654	2167	NA	NA	NA
ENSMUST00000191374	352	NA	NA	NA
ENSMUST00000190315	1538	714	699	125
ENSMUST00000194239	1498	NA	NA	NA
ENSMUST00000194080	621	NA	NA	NA
ENSMUST00000186581	174	NA	NA	NA
ENSMUST00000185908	352	NA	NA	NA
ENSMUST00000187712	931	58	669	204
ENSMUST00000195482	431	NA	NA	NA
ENSMUST00000189592	1576	76	1143	357
ENSMUST00000191487	430	NA	NA	NA
ENSMUST00000189006	1138	114	168	856
ENSMUST00000188565	356	NA	NA	NA
ENSMUST00000190966	617	NA	NA	NA
ENSMUST00000188599	2167	NA	NA	NA
ENSMUST00000190559	619	NA	NA	NA
ENSMUST00000185485	437	NA	NA	NA
ENSMUST00000189869	2167	NA	NA	NA
ENSMUST00000188922	2168	NA	NA	NA
ENSMUST00000185206	442	NA	NA	NA
ENSMUST00000186912	1498	NA	NA	NA
ENSMUST00000188788	1498	NA	NA	NA
ENSMUST00000178505	567	NA	567	NA
ENSMUST00000115940	693	NA	693	NA
ENSMUST00000185240	923	58	669	196
ENSMUST00000180175	498	NA	NA	NA
ENSMUST00000190777	2137	NA	NA	NA
ENSMUST00000190129	537	NA	NA	NA
ENSMUST00000185828	1120	NA	NA	NA
ENSMUST00000185769	437	NA	NA	NA
ENSMUST00000190486	352	NA	NA	NA
ENSMUST00000188510	621	NA	NA	NA
ENSMUST00000191742	1505	NA	NA	NA
ENSMUST00000193698	437	NA	NA	NA
ENSMUST00000179900	1618	639	543	436
ENSMUST00000188870	166	NA	NA	NA
ENSMUST00000188508	2166	NA	NA	NA
ENSMUST00000187495	437	NA	NA	NA
